Family Code,County,Cars,Computer Owned,Internet Status,Transport,Start Time,Travel Time
1,Galway,2,computer_yes,internet_no,travel_car,leave_0800,time_15
2,Galway,1,computer_no,internet_no,travel_car,leave_0730,time_30
3,Galway,3,computer_no,internet_broadband,travel_other,leave_0900,time_30
4,Galway,2,computer_yes,internet_other,travel_lift,leave_0830,time_15
5,Galway,2,computer_yes,internet_no,travel_car,leave_0800,time_15
6,Galway,2,computer_no,internet_broadband,travel_car,leave_0700,time_30
7,Galway,2,computer_yes,internet_broadband,travel_lift,leave_0930,time_15
8,Galway,0,computer_yes,internet_broadband,travel_foot,leave_0700,time_45
9,Galway,2,computer_yes,internet_broadband,travel_car,leave_0800,time_30
10,Galway,1,computer_yes,internet_no,travel_foot,leave_0900,time_45
11,Galway,1,computer_yes,internet_no,travel_car,leave_0830,time_45
12,Galway,1,computer_yes,internet_broadband,travel_car,leave_0830,time_30
13,Galway,3,computer_n/a,internet_broadband,travel_foot,leave_0930,time_45
14,Galway,2,computer_yes,internet_no,travel_foot,leave_0900,time_45
15,Galway,1,computer_no,internet_broadband,travel_car,leave_0900,time_30
16,Galway,2,computer_yes,internet_no,travel_foot,leave_0800,time_45
17,Galway,3,computer_no,internet_broadband,travel_bus,leave_n/a,time_30
18,Galway,1,computer_yes,internet_broadband,travel_car,leave_0800,time_30
19,Galway,4,computer_yes,internet_no,travel_car,leave_0830,time_30
20,Galway,2,computer_yes,internet_broadband,travel_car,leave_n/a,time_45
21,Galway,1,computer_no,internet_no,travel_car,leave_0730,time_45
22,Galway,1,computer_yes,internet_broadband,travel_car,leave_0830,time_15
23,Galway,0,computer_no,internet_n/a,travel_car,leave_0800,time_30
24,Galway,2,computer_yes,internet_broadband,travel_lift,leave_0900,time_30
25,Galway,1,computer_no,internet_broadband,travel_bus,leave_0700,time_90+
26,Galway,2,computer_yes,internet_no,travel_car,leave_0630,time_15
27,Galway,1,computer_no,internet_broadband,travel_lift,leave_0900,time_15
28,Galway,4,computer_yes,internet_no,travel_car,leave_after_0930,time_15
29,Galway,2,computer_yes,internet_no,travel_lift,leave_0830,time_15
30,Galway,3,computer_yes,internet_no,travel_lift,leave_0730,time_45
31,Galway,2,computer_no,internet_other,travel_lift,leave_0900,time_60
32,Galway,2,computer_yes,internet_no,travel_other,leave_0830,time_45
33,Galway,2,computer_yes,internet_no,travel_lift,leave_0800,time_30
34,Galway,2,computer_yes,internet_broadband,travel_bicycle,leave_0900,time_30
35,Galway,2,computer_no,internet_n/a,travel_other,leave_0900,time_15
36,Galway,2,computer_no,internet_broadband,travel_car,leave_0930,time_90
37,Galway,1,computer_no,internet_broadband,travel_foot,leave_0830,time_90
38,Galway,1,computer_yes,internet_no,travel_car,leave_0930,time_n/a
39,Galway,1,computer_yes,internet_broadband,travel_car,leave_0930,time_30
40,Galway,0,computer_yes,internet_broadband,travel_lift,leave_0730,time_60
41,Galway,2,computer_yes,internet_other,travel_car,leave_0800,time_15
42,Galway,1,computer_yes,internet_other,travel_car,leave_0900,time_45
43,Galway,1,computer_yes,internet_broadband,travel_car,leave_0900,time_15
