Family Code,County,Cars,Computer Owned,Internet Status,Transport,Start Time,Travel Time
1,Clare,0,computer_no,internet_no,travel_car_passenger,leave_0930,time_30
2,Clare,2,computer_no,internet_broadband,travel_other,leave_0900,time_15
3,Clare,0,computer_yes,internet_broadband,travel_other,leave_0900,time_15
4,Clare,2,computer_yes,internet_broadband,travel_car_passenger,leave_0700,time_30
5,Clare,1,computer_no,internet_no,travel_other,leave_0900,time_15
6,Clare,1,computer_yes,internet_broadband,travel_car,leave_n/a,time_15
7,Clare,2,computer_yes,internet_broadband,travel_car_passenger,leave_0830,time_30
8,Clare,1,computer_yes,internet_broadband,travel_foot,leave_0830,time_30
9,Clare,0,computer_yes,internet_broadband,travel_car,leave_0700,time_30
10,Clare,3,computer_no,internet_broadband,travel_car,leave_0800,time_45
11,Clare,0,computer_yes,internet_broadband,travel_car,leave_0830,time_15
12,Clare,1,computer_yes,internet_no,travel_van,leave_0800,time_15
13,Clare,0,computer_yes,internet_broadband,travel_car_passenger,leave_0730,time_15
14,Clare,1,computer_yes,internet_no,travel_car,leave_0830,time_45
15,Clare,0,computer_yes,internet_no,travel_other,leave_0900,time_15
16,Clare,2,computer_no,internet_no,travel_car,leave_0900,time_30
17,Clare,2,computer_yes,internet_no,travel_car,leave_0900,time_15
18,Clare,3,computer_no,internet_no,travel_van,leave_0800,time_30
19,Clare,2,computer_yes,internet_broadband,travel_other,leave_0800,time_15
20,Clare,2,computer_no,internet_broadband,travel_car,leave_0800,time_n/a
21,Clare,3,computer_no,internet_broadband,travel_bus,leave_0900,time_n/a
22,Clare,0,computer_yes,internet_broadband,travel_car,leave_0830,time_30
23,Clare,2,computer_yes,internet_no,travel_car,leave_0830,time_60
24,Clare,2,computer_yes,internet_broadband,travel_bus,leave_after_0930,time_45
25,Clare,2,computer_no,internet_broadband,travel_car_passenger,leave_0830,time_30
26,Clare,0,computer_yes,internet_broadband,travel_car,leave_0930,time_15
27,Clare,1,computer_no,internet_other,travel_foot,leave_0730,time_15
28,Clare,1,computer_yes,internet_no,travel_bus,leave_0900,time_30
29,Clare,2,computer_yes,internet_broadband,travel_car_passenger,leave_0900,time_n/a
30,Clare,1,computer_yes,internet_n/a,travel_van,leave_0800,time_15
31,Clare,4,computer_no,internet_broadband,travel_car,leave_0830,time_45
32,Clare,2,computer_no,internet_broadband,travel_car,leave_0900,time_30
33,Cork,2,computer_yes,internet_broadband,travel_car_passenger,leave_after_0930,time_30
34,Cork,2,computer_yes,internet_broadband,travel_bus,leave_n/a,time_15
35,Cork,1,computer_yes,internet_broadband,travel_bus,leave_0900,time_15
36,Cork,0,computer_no,internet_broadband,travel_car,leave_0630,time_15
37,Cork,1,computer_no,internet_no,travel_foot,leave_0800,time_15
38,Cork,1,computer_no,internet_broadband,travel_other,leave_0800,time_30
39,Cork,1,computer_no,internet_no,travel_car,leave_0730,time_45
40,Cork,1,computer_yes,internet_broadband,travel_car_passenger,leave_0800,time_60
41,Cork,1,computer_yes,internet_broadband,travel_car_passenger,leave_0830,time_15
42,Cork,2,computer_no,internet_no,travel_car_passenger,leave_0630,time_90
43,Cork,2,computer_no,internet_no,travel_car,leave_0800,time_30
44,Cork,0,computer_yes,internet_broadband,travel_car_passenger,leave_after_0930,time_15
45,Cork,0,computer_yes,internet_no,travel_car,leave_0900,time_15
